"original_idx1","original_idx2","celltype1","celltype2"
2,5838,"cd14mono","dc"
5,4912,"cd4memoryt","cd14mono"
5,4834,"cd4memoryt","cd14mono"
6,2181,"cd14mono","tactivated"
7,4494,"tactivated","cd4naivet"
7,4510,"tactivated","cd4naivet"
8,6362,"cd4naivet","cd14mono"
8,3529,"cd4naivet","cd14mono"
8,3851,"cd4naivet","cd14mono"
10,3222,"cd14mono","tactivated"
11,2334,"cd4naivet","dc"
12,2051,"tactivated","bactivated"
12,4666,"tactivated","cd4naivet"
13,341,"cd8t","b"
13,6099,"cd8t","cd14mono"
14,3055,"cd8t","cd14mono"
14,1587,"cd8t","b"
16,5980,"cd4naivet","cd14mono"
16,5494,"cd4naivet","cd14mono"
16,4484,"cd4naivet","nk"
16,1143,"cd4naivet","mk"
17,6679,"tactivated","cd16mono"
17,2277,"tactivated","cd14mono"
17,5318,"tactivated","mk"
17,965,"tactivated","cd14mono"
17,257,"tactivated","b"
20,5523,"tactivated","cd4memoryt"
21,3497,"cd8t","cd4memoryt"
23,6884,"cd4naivet","nk"
23,5488,"cd4naivet","mk"
23,3119,"cd4naivet","cd14mono"
23,3605,"cd4naivet","cd16mono"
24,5130,"bactivated","cd16mono"
24,2807,"bactivated","cd4naivet"
24,2975,"bactivated","cd14mono"
25,5180,"cd4naivet","cd14mono"
25,1539,"cd4naivet","cd14mono"
25,4717,"cd4naivet","dc"
25,64,"cd4naivet","cd8t"
26,6779,"cd14mono","cd4naivet"
27,4691,"cd14mono","cd16mono"
28,7381,"cd8t","cd4memoryt"
28,6227,"cd8t","eryth"
29,7115,"b","cd14mono"
29,130,"b","tactivated"
30,3946,"bactivated","cd14mono"
30,107,"bactivated","nk"
30,7102,"bactivated","cd14mono"
30,5643,"bactivated","cd14mono"
31,4467,"cd4memoryt","cd4naivet"
31,4333,"cd4memoryt","cd14mono"
31,6729,"cd4memoryt","nk"
32,2819,"cd14mono","nk"
32,2777,"cd14mono","bactivated"
32,4978,"cd14mono","b"
33,660,"cd4naivet","nk"
34,2058,"dc","cd4memoryt"
34,6843,"dc","cd14mono"
35,67,"tactivated","cd4memoryt"
35,5523,"tactivated","cd4memoryt"
36,4123,"cd16mono","cd8t"
36,5192,"cd16mono","tactivated"
36,4592,"cd16mono","cd4naivet"
39,5482,"nk","b"
39,2019,"nk","cd4memoryt"
40,1939,"b","dc"
40,11,"b","cd4naivet"
40,3226,"b","cd16mono"
41,3475,"cd16mono","nk"
43,1465,"cd4memoryt","cd14mono"
43,4106,"cd4memoryt","cd14mono"
43,6008,"cd4memoryt","cd4naivet"
44,187,"cd4memoryt","cd14mono"
44,2906,"cd4memoryt","cd14mono"
44,1302,"cd4memoryt","cd4naivet"
44,2498,"cd4memoryt","nk"
45,3043,"cd14mono","cd4naivet"
45,4852,"cd14mono","b"
46,3761,"cd4memoryt","cd14mono"
46,1155,"cd4memoryt","b"
46,1302,"cd4memoryt","cd4naivet"
47,1825,"cd4naivet","bactivated"
47,5331,"cd4naivet","cd8t"
47,2363,"cd4naivet","nk"
47,5180,"cd4naivet","cd14mono"
49,7221,"cd8t","cd4memoryt"
49,6718,"cd8t","cd14mono"
49,7005,"cd8t","nk"
50,3314,"cd4naivet","cd14mono"
50,6771,"cd4naivet","cd14mono"
50,5760,"cd4naivet","cd14mono"
50,5775,"cd4naivet","cd4memoryt"
51,6802,"cd14mono","cd16mono"
51,5910,"cd14mono","cd8t"
52,1320,"cd14mono","nk"
53,4047,"cd4naivet","b"
54,6911,"cd4memoryt","cd16mono"
55,6367,"cd14mono","cd16mono"
55,3910,"cd14mono","cd4memoryt"
56,1387,"cd4naivet","cd4memoryt"
56,5760,"cd4naivet","cd14mono"
56,1030,"cd4naivet","cd4memoryt"
56,7292,"cd4naivet","cd4memoryt"
57,3295,"cd14mono","cd4naivet"
57,677,"cd14mono","dc"
57,2864,"cd14mono","cd16mono"
59,3696,"cd14mono","cd4memoryt"
60,2025,"cd16mono","cd14mono"
60,3351,"cd16mono","cd4memoryt"
60,63,"cd16mono","b"
60,4592,"cd16mono","cd4naivet"
61,433,"cd14mono","b"
61,4175,"cd14mono","cd8t"
61,5937,"cd14mono","nk"
62,5118,"cd4naivet","b"
62,4188,"cd4naivet","nk"
62,6152,"cd4naivet","cd14mono"
63,5696,"b","cd14mono"
63,3025,"b","cd14mono"
63,6459,"b","cd14mono"
63,4710,"b","tactivated"
64,5981,"cd8t","cd14mono"
64,5551,"cd8t","cd14mono"
64,6004,"cd8t","cd4memoryt"
64,4560,"cd8t","cd14mono"
65,2327,"cd16mono","cd4memoryt"
65,4970,"cd16mono","cd4naivet"
65,1944,"cd16mono","cd14mono"
