"","V1"
"install","0.0006229877 secs"
"unnamed.chunk.1","0.002312899 secs"
"packages","2.911331 secs"
"unnamed.chunk.2","6.295549 secs"
"pp.rna","1.689303 mins"
"jc","1.357581 mins"
"wumap","50.19277 secs"
"wumap.plot","2.42086 secs"
"compumap","1.050799 mins"
"umapplot2","1.972998 secs"
"ftplot","4.250856 secs"
"plotwts","1.25897 secs"
"save.img","1.087992 secs"
"pkgs","0.006744146 secs"
"CreateObject","0.3680611 secs"
"QCObject","0.00421381 secs"
"IndependentAnalysis","0.009230852 secs"
"MultiModalAnalysis","0.007291079 secs"
"Annotate","0.004486084 secs"
"Annotate2","0.01166391 secs"
"UMAPs","2.894298 secs"
"coverageplotcd8","0.006891012 secs"
"install.deps","0.0004220009 secs"
"chromVar","0.01543188 secs"
"CEBPB","0.005999088 secs"
"presto","0.02603412 secs"
"defineTests","0.002384901 secs"
"NK","0.01740098 secs"
"pDC","0.00779891 secs"
"CD16Mono","0.008461952 secs"
"moreTFS","0.004978895 secs"
